lambda,Kx,Ku,Race,Axis
0.97896540212454,5000.55520070837,107.444724371946,CR1 post,x
0.997256752952748,10022.8764566328,27.5708599247042,CR1 post,y
0.997358537915557,22484.9783248504,59.5505181504147,CR1 post,z
0.975753635606425,4477.89594179312,111.270604340356,CR1 pre,x
0.997857415193498,9864.37346547725,21.1806380260222,CR1 pre,y
0.997624271407826,22367.0212965211,53.2645140448708,CR1 pre,z
0.991962208940155,21545.2702756517,174.579615274451,CR2 post,x
0.98883798404699,5514.3260162632,62.245783390844,CR2 post,y
0.995142742485848,13551.6634062762,66.1452031946388,CR2 post,z
0.985316099063789,9588.96429086805,142.901756970948,CR2 pre,x
0.996100233938304,7363.89699333573,28.8299054633224,CR2 pre,y
0.995037625044987,12420.4954706364,61.9425377503223,CR2 pre,z
0.959742184044464,3112.94602562867,130.577159431674,HT1 post,x
0.996375476823025,6438.10322341675,23.4199404660563,HT1 post,y
0.996886433817208,14111.8944256363,44.0755493988952,HT1 post,z
0.707990953951449,8070.3745580963,3328.60520718716,HT1 pre,x
0.986004455963846,6099.7422341798,86.5809586673725,HT1 pre,y
0.989077417736616,17273.3190462015,190.75276096745,HT1 pre,z
0.977735311571608,5947.22880147395,135.428468942515,HT2 post,x
0.994856229907862,4645.94310398037,24.0212228356272,HT2 post,y
0.997398604959892,17510.3411396766,45.6701206166059,HT2 post,z
0.955517240385993,11343.1503387102,528.06439115485,HT2 pre,x
0.990750824482681,3972.3519950603,37.0839770313282,HT2 pre,y
0.995878241469315,17695.5519292627,73.2386642085999,HT2 pre,z
